IID	PRS
HG00096	-0.24798887980529996
HG00097	0.35063588133479995
HG00099	-0.047572677984899885
HG00100	-0.47388028326290005
HG00101	-0.5103045726519999
HG00102	-0.9412491528745999
HG00103	-0.4252233769955
HG00105	-0.419678898408
HG00106	-0.28617034636300015
HG00107	-0.8772991273499998
HG00108	-0.715908672568
HG00109	0.004140378296300043
HG00110	-0.0821421897059999
HG00111	-0.0852705109356
HG00112	-0.720328896934
HG00113	-0.4619533300739999
HG00114	-0.816985718579
HG00115	-0.019208174846300035
HG00116	-0.26706867906119997
HG00117	-0.618241002406
HG00118	0.21164126703100006
HG00119	-0.7117729069900001
HG00120	-0.40270562477965294
HG00121	-0.7788293907644002
HG00122	-0.990699846366
HG00123	-0.6585256971105999
HG00125	-0.03789228545710006
HG00126	0.1957966815485999
HG00127	-0.18601756917599996
HG00128	-0.30025023657460004
HG00129	0.2579280888053
HG00130	-0.5087776733898003
HG00131	-0.42664678716279997
HG00132	-0.7515768380719999
HG00133	-0.760892694248
HG00136	-0.8882078167574762
HG00137	-0.31440926731210006
HG00138	0.6637904911667998
HG00139	-0.805994164948
HG00140	-0.40464205618200005
HG00141	-0.39526445937010013
HG00142	-0.19488245936599993
HG00143	-0.3042635110840001
HG00145	-0.17013003571600002
HG00146	-0.9903007916933002
HG00148	-0.5157353779343201
HG00149	-0.7392060736651002
HG00150	0.0280562196055
HG00151	0.04074698377479998
HG00154	-0.14720735689599998
HG00155	-0.8924163045340002
HG00157	-0.11521379023870007
HG00158	-0.553070615039
HG00159	-0.5040256866100001
HG00160	-0.550844061629
HG00171	0.4713528462200998
HG00173	-0.1483673364713999
HG00174	-0.36447260492300004
HG00176	-0.24887525456159992
HG00177	0.008824304296299872
HG00178	-0.19664324081359993
HG00179	-0.30615174566100006
HG00180	-0.10669805705848
HG00181	-0.07051189775900013
HG00182	0.33694625330600003
HG00183	0.33530087811500003
HG00185	0.3773205397280399
HG00186	0.09549438905399994
HG00187	0.41345981553806804
HG00188	0.21080976426920003
HG00189	-0.19364251156259002
HG00190	0.31222101741630004
HG00231	-0.912202087621
HG00232	-0.65597424331
HG00233	0.01523286077739997
HG00234	-0.6175343074252998
HG00235	-0.24130976893799994
HG00236	-0.0016326342209999763
HG00237	0.06597463354899988
HG00238	-0.22709401025400006
HG00239	-1.1991201850540993
HG00240	-0.2683642706080001
HG00242	-0.4032147440078
HG00243	0.46467405194499994
HG00244	-0.8290576285864
HG00245	-0.33780627335209995
HG00246	-0.4179147951259999
HG00250	-0.456618798277
HG00251	-0.666034307783
HG00252	-0.25257402389110006
HG00253	-0.5779867696879801
HG00254	-0.3575556199341999
HG00255	-0.8255781342499999
HG00256	-0.17619124846560003
HG00257	0.007938792932
HG00258	-0.37536732967899994
HG00259	-0.628464354473
HG00260	-0.19243031988
HG00261	-0.29747925027100003
HG00262	-0.435010697741
HG00263	-0.10148762066800006
HG00264	0.09693733295200008
HG00265	-0.883673916001
HG00266	-0.3747024704220001
HG00267	-0.08275937061690004
HG00268	-0.4112634079675002
HG00269	0.6467133842719999
HG00271	0.0240581317866
HG00272	-0.3400873538619999
HG00273	0.10608572489429996
HG00274	-0.021934610890999993
HG00275	-0.278036812509
HG00276	-0.28604408243696
HG00277	0.0405862580780001
HG00278	0.0968931006779999
HG00280	-0.036503218957899985
HG00281	-0.28277500064400024
HG00282	0.4241178453159998
HG00284	-0.36865131321500005
HG00285	-0.15747288170760007
HG00288	0.09359038623900004
HG00290	0.6697156490848998
HG00304	-0.07685131910840011
HG00306	-0.29948348763609994
HG00308	0.11161137391460009
HG00309	-0.20599902544360008
HG00310	-0.589878044558
HG00311	-0.25590037893
HG00313	0.15691403810000012
HG00315	-0.3378063927256001
HG00318	0.03838790699549996
HG00319	0.11086849158910012
HG00320	-0.345980814838
HG00321	-0.6177246948289997
HG00323	0.19829408126580003
HG00324	0.030613061041999907
HG00325	0.07728973025519988
HG00326	-0.26563152428680004
HG00327	0.03919588940530008
HG00328	-0.3341372859875001
HG00329	-0.30414669369089997
HG00330	-0.489720757007
HG00331	0.552538942826
HG00332	-0.6191037191656001
HG00334	0.003316498436299953
HG00335	0.014858177564999946
HG00336	0.3377426305470001
HG00337	-0.11019337210450006
HG00338	-0.11257208873099994
HG00339	0.066746387692
HG00341	-0.09380740080999993
HG00342	-0.23866043380979995
HG00343	-0.09853587642600001
HG00344	-0.487604210007
HG00345	-0.23889624119699998
HG00346	0.07995432962989997
HG00349	0.22953469984299987
HG00350	-0.4528460827379
HG00351	-0.45453108344300014
HG00353	0.2093677338858
HG00355	0.07880353365840002
HG00356	-0.5583433070983201
HG00357	0.006297397161999927
HG00358	0.8552640464754
HG00360	0.06833396392999996
HG00361	-0.21619010691199997
HG00362	-0.21577518109759997
HG00364	-0.17505791185800001
HG00365	0.001375097423000096
HG00366	0.04281596609599984
HG00367	-0.2601335992336001
HG00368	0.5457483675079999
HG00369	0.15682503135199985
HG00371	0.34927007575600005
HG00372	-0.3135825218875
HG00373	-0.12909846657400006
HG00375	-0.06408679892599985
HG00376	-0.46783824726799994
HG00378	-0.09746663063619994
HG00379	-0.17834783551100014
HG00380	0.01590921816630007
HG00381	0.379489379694
HG00382	0.004400165194299905
HG00383	-0.07852024390299996
HG00384	0.05469669602370006
HG00403	0.24139103269320003
HG00404	0.3491459724358001
HG00406	-0.24745672859799991
HG00407	0.301598270649
HG00409	0.31534142509899993
HG00410	0.4649460911919998
HG00419	0.15935197950500002
HG00421	0.45545080658669984
HG00422	0.11558220063730003
HG00428	0.28593350411280005
HG00436	0.09004140188969992
HG00437	0.6770276371464001
HG00442	-0.0161482756929899
HG00443	0.3372422363891999
HG00445	0.4061863508486
HG00446	0.034836528432000045
HG00448	0.221346646095
HG00449	0.2092314779183999
HG00451	0.5007695065790002
HG00452	0.3872869673722001
HG00457	0.3749540136859001
HG00458	0.7593907138427999
HG00463	0.5199376736942002
HG00464	0.3661607791201998
HG00472	0.17668565590199994
HG00473	0.30621866868479986
HG00475	0.2578225849810001
HG00476	0.039692233751200096
HG00478	0.22153768606190008
HG00479	0.2503494886548998
HG00500	0.46473109205200014
HG00513	0.14279920994319995
HG00524	0.18675909719589995
HG00525	-0.0008928507512000236
HG00530	-0.04566199229720016
HG00531	0.2967112135140001
HG00533	0.27324615744310005
HG00534	0.15709217491599994
HG00536	0.3686428869716601
HG00537	0.1161378638024
HG00542	0.4429036483882
HG00543	0.1444673857251001
HG00551	-0.29823505961499985
HG00553	-0.315453045171
HG00554	-0.23662157152470006
HG00556	-0.12264152951750008
HG00557	0.17412696827469998
HG00559	0.17645242643899992
HG00560	0.6924693802776001
HG00565	0.6831148342458797
HG00566	0.501833246514
HG00580	0.3009192765960101
HG00581	0.21095343343320005
HG00583	0.038163555664999904
HG00584	0.11418816428900012
HG00589	0.4051069683816
HG00590	-0.17975298315370003
HG00592	0.17373322669639996
HG00593	0.602905252394
HG00595	0.1196698634236999
HG00596	-0.09228998475280001
HG00598	0.2179148580581001
HG00599	0.5631035886313001
HG00607	0.2274671550216
HG00608	0.15919804984479993
HG00610	0.491823665657
HG00611	0.43510973657299984
HG00613	-0.02532692570990001
HG00614	0.012947627539700064
HG00619	0.22757049435939986
HG00620	0.14494039370006007
HG00622	0.5120380721824398
HG00623	-0.0657762177879999
HG00625	0.4465304663616002
HG00626	-0.014292512355399956
HG00628	0.5597555671699997
HG00629	0.3089679407140001
HG00631	0.5311490349598
HG00632	0.17618020298900006
HG00634	0.22896253126529992
HG00637	-0.0016786938809999884
HG00638	-0.5052250155069
HG00640	-0.5463994600317998
HG00641	-0.19345326273840022
HG00650	0.6152484313259
HG00651	0.2011807614234499
HG00653	-0.12136121204200001
HG00654	0.5942036772143001
HG00656	-0.15455522673799996
HG00657	0.28079839648659993
HG00662	-0.07069188117860005
HG00663	-0.076425607931
HG00671	0.16537814062689987
HG00672	-0.11114262628654992
HG00674	0.40130357976200004
HG00675	0.47511900885920005
HG00683	0.37908104722300007
HG00684	0.2885738547870001
HG00689	0.39207038134581
HG00690	0.13799960644380008
HG00692	0.302907539799
HG00693	0.26137596962919984
HG00698	0.4628376660044998
HG00699	0.027550247337800007
HG00701	0.4832849901080001
HG00704	0.25408168934220005
HG00705	0.2519786079410002
HG00707	0.11580110878450006
HG00708	-0.16199315353522994
HG00717	0.2210349154778599
HG00728	0.07110898878592002
HG00729	0.3127491550586
HG00731	-0.1847299455745
HG00732	0.057373328793700135
HG00734	-0.19147882562399993
HG00736	-0.45628668445219994
HG00737	-0.7441055511040001
HG00739	0.014569235706100076
HG00740	0.09168039774800024
HG00742	-0.5920774923706998
HG00743	0.027788102720000013
HG00759	0.27942490287079996
HG00766	-0.14352207791400018
HG00844	0.5392039525749998
HG00851	-0.033907250112199944
HG00864	0.14855137223759995
HG00867	-0.11267914493759988
HG00879	0.37372301077649994
HG00881	0.2897699341468
HG00956	-0.09193174857900001
HG00978	0.37035923472460014
HG00982	0.05672621938650014
HG01028	0.23385287417960005
HG01029	0.12665573772920008
HG01031	0.09557205924800001
HG01046	0.2780125075376
HG01047	-0.003927614481999999
HG01048	-0.21542262940889995
HG01049	-0.6858352755969999
HG01051	-0.13750875659810002
HG01052	-0.15132297334358988
HG01054	0.20116011151600005
HG01055	-0.11786658944400008
HG01058	0.42720288322178007
HG01060	-0.14422501148519995
HG01061	0.21782884820210013
HG01063	-0.31636264557399996
HG01064	-0.1660942000857999
HG01066	-0.37749958730299993
HG01067	-0.042013430891
HG01069	-0.1327947892512
HG01070	-0.25050165448250006
HG01072	-0.17958189622039997
HG01073	-0.6777487734897
HG01075	-0.7008484939018002
HG01077	0.2884265179259
HG01079	-0.032894188035000035
HG01080	-0.2537349381999
HG01082	-0.03607817468500012
HG01083	0.005346395316999965
HG01085	-0.17512961683360015
HG01086	0.008218001874599846
HG01088	0.3160084998269999
HG01089	-0.042039257014400054
HG01092	-0.24000908615780012
