IID	PRS
HG00096	-1.5063359999999997
HG00097	-1.7001550000000005
HG00099	-0.4430079999999999
HG00100	-1.5271320000000002
HG00101	-1.01595
HG00102	-1.4653520000000004
HG00103	-1.093054
HG00105	-1.0552839999999999
HG00106	-0.5858699999999999
HG00107	-1.27064
HG00108	-1.3239979999999996
HG00109	-1.0783470000000002
HG00110	-1.233515
HG00111	-1.7366089999999998
HG00112	-0.9597169999999999
HG00113	-1.2736410000000002
HG00114	-1.1969480000000001
HG00115	-0.7934629999999998
HG00116	-0.7589899999999998
HG00117	-1.294442
HG00118	-1.447531
HG00119	-1.452797
HG00120	-0.8902779999999998
HG00121	-1.0182220000000002
HG00122	-1.8381110000000003
HG00123	-0.9440070000000002
HG00125	-1.3946169999999993
HG00126	-1.2454699999999999
HG00127	-0.9375350000000002
HG00128	-1.0811119999999999
HG00129	-1.130213
HG00130	-0.996544
HG00131	-0.906908
HG00132	-1.5111850000000004
HG00133	-1.378358
HG00136	-1.510191
HG00137	-1.272649
HG00138	-1.2439699999999998
HG00139	-1.3161520000000002
HG00140	-1.2464349999999997
HG00141	-1.539422
HG00142	-1.05061
HG00143	-1.2542129999999998
HG00145	-1.3005539999999998
HG00146	-0.7851130000000001
HG00148	-0.7823869999999999
HG00149	-1.0040410000000002
HG00150	-0.9939359999999998
HG00151	-0.9097199999999999
HG00154	-1.235877
HG00155	-1.237832
HG00157	-0.756423
HG00158	-0.570289
HG00159	-1.6077780000000002
HG00160	-1.3291769999999996
HG00171	-1.3560960000000004
HG00173	-1.6281330000000003
HG00174	-1.257537
HG00176	-0.8565339999999997
HG00177	-1.4288760000000005
HG00178	-1.25215
HG00179	-1.4749789999999996
HG00180	-1.1101079999999999
HG00181	-0.43221699999999996
HG00182	-1.2652709999999998
HG00183	-1.0314980000000002
HG00185	-1.4293570000000002
HG00186	-0.727403
HG00187	-1.0820309999999997
HG00188	-1.8465639999999997
HG00189	-0.3186399999999999
HG00190	-1.0707389999999999
HG00231	-0.8482859999999999
HG00232	-1.1124370000000001
HG00233	-1.040902
HG00234	-1.2493690000000004
HG00235	-1.0121149999999999
HG00236	-1.2013030000000002
HG00237	-0.563392
HG00238	-1.2941369999999996
HG00239	-0.8086269999999999
HG00240	-1.0353360000000003
HG00242	-1.6886289999999997
HG00243	-1.271242
HG00244	-1.226769
HG00245	-1.3472819999999996
HG00246	-0.7603770000000002
HG00250	-0.8724550000000003
HG00251	-1.2383880000000005
HG00252	-0.745147
HG00253	-0.9399840000000002
HG00254	-0.8575779999999997
HG00255	-0.862349
HG00256	-0.7722519999999999
HG00257	-0.799526
HG00258	-0.9844849999999999
HG00259	-1.0269100000000002
HG00260	-0.46642200000000006
HG00261	-1.040426
HG00262	-1.278126
HG00263	-1.4168049999999999
HG00264	-1.1373649999999997
HG00265	-0.9678719999999998
HG00266	-1.0101030000000002
HG00267	-1.1372019999999998
HG00268	-0.6724410000000002
HG00269	-1.2878660000000002
HG00271	-0.7419010000000001
HG00272	-1.3442290000000003
HG00273	-1.8768519999999997
HG00274	-1.313901
HG00275	-1.4669059999999998
HG00276	-1.193612
HG00277	-1.2671400000000002
HG00278	-1.054138
HG00280	-1.4257049999999998
HG00281	-1.22128
HG00282	-0.7306849999999999
HG00284	-1.4273869999999995
HG00285	-1.4195119999999999
HG00288	-0.6909109999999998
HG00290	-1.1908929999999998
HG00304	-1.6199669999999997
HG00306	-1.042956
HG00308	-1.7994850000000002
HG00309	-1.253472
HG00310	-1.1776169999999997
HG00311	-1.3803820000000002
HG00313	-0.553167
HG00315	-1.0352180000000002
HG00318	-1.1109120000000001
HG00319	-1.0204900000000001
HG00320	-0.782853
HG00321	-1.52356
HG00323	-1.402373
HG00324	-1.4250560000000005
HG00325	-1.2398050000000003
HG00326	-0.8532380000000003
HG00327	-1.3911429999999998
HG00328	-1.626394
HG00329	-1.034699
HG00330	-1.2446780000000002
HG00331	-1.2093639999999999
HG00332	-1.5370049999999997
HG00334	-1.342273
HG00335	-1.6828109999999998
HG00336	-1.191941
HG00337	-0.860289
HG00338	-0.713683
HG00339	-1.0257960000000004
HG00341	-0.693113
HG00342	-0.9004869999999999
HG00343	-0.693161
HG00344	-1.087727
HG00345	-0.934674
