IID	PRS	Risk_Group
HG00096	-1.5063359999999997	Low
HG00097	-1.7001550000000003	Low
HG00099	-0.4430079999999999	High
HG00100	-1.5271320000000002	Low
HG00101	-1.01595	Intermediate
HG00102	-1.4653520000000004	Low
HG00103	-1.093054	Intermediate
HG00105	-1.055284	Intermediate
HG00106	-0.5858699999999999	Intermediate
HG00107	-1.27064	Low
HG00108	-1.3239979999999996	Low
HG00109	-1.0783470000000002	Intermediate
HG00110	-1.233515	Low
HG00111	-1.7366089999999998	Low
HG00112	-0.959717	Intermediate
HG00113	-1.2736410000000002	Low
HG00114	-1.196948	Low
HG00115	-0.7934629999999998	Intermediate
HG00116	-0.7589899999999998	Intermediate
HG00117	-1.294442	Low
HG00118	-1.447531	Low
HG00119	-1.452797	Low
HG00120	-0.8902779999999998	Intermediate
HG00121	-1.0182220000000002	Intermediate
HG00122	-1.8381110000000005	Low
HG00123	-0.9440070000000002	Intermediate
HG00125	-1.394616999999999	Low
HG00126	-1.24547	Low
HG00127	-0.9375350000000002	Intermediate
HG00128	-1.081112	Intermediate
HG00129	-1.130213	Intermediate
HG00130	-0.996544	Intermediate
HG00131	-0.906908	Intermediate
HG00132	-1.5111850000000004	Low
HG00133	-1.378358	Low
HG00136	-1.510191	Low
HG00137	-1.272649	Low
HG00138	-1.2439699999999998	Low
HG00139	-1.3161520000000002	Low
HG00140	-1.2464349999999995	Low
HG00141	-1.539422	Low
HG00142	-1.05061	Intermediate
HG00143	-1.2542129999999998	Low
HG00145	-1.3005539999999998	Low
HG00146	-0.7851130000000001	Intermediate
HG00148	-0.7823869999999999	Intermediate
HG00149	-1.0040410000000002	Intermediate
HG00150	-0.9939359999999998	Intermediate
HG00151	-0.90972	Intermediate
HG00154	-1.235877	Low
HG00155	-1.237832	Low
HG00157	-0.756423	Intermediate
HG00158	-0.570289	High
HG00159	-1.6077780000000002	Low
HG00160	-1.3291769999999996	Low
HG00171	-1.3560960000000004	Low
HG00173	-1.6281330000000005	Low
HG00174	-1.257537	Low
HG00176	-0.8565339999999997	Intermediate
HG00177	-1.4288760000000005	Low
HG00178	-1.25215	Low
HG00179	-1.4749789999999996	Low
HG00180	-1.110108	Intermediate
HG00181	-0.4322169999999999	High
HG00182	-1.2652709999999998	Low
HG00183	-1.0314980000000002	Intermediate
HG00185	-1.4293570000000002	Low
HG00186	-0.727403	Intermediate
HG00187	-1.0820309999999995	Intermediate
HG00188	-1.846564	Low
HG00189	-0.3186399999999999	High
HG00190	-1.070739	Intermediate
HG00231	-0.8482859999999999	Intermediate
HG00232	-1.112437	Intermediate
HG00233	-1.040902	Intermediate
HG00234	-1.2493690000000004	Low
HG00235	-1.012115	Intermediate
HG00236	-1.2013030000000002	Low
HG00237	-0.563392	High
HG00238	-1.2941369999999996	Low
HG00239	-0.8086269999999999	Intermediate
HG00240	-1.0353360000000005	Intermediate
HG00242	-1.6886289999999995	Low
HG00243	-1.271242	Low
HG00244	-1.226769	Low
HG00245	-1.3472819999999996	Low
HG00246	-0.7603770000000002	Intermediate
HG00250	-0.8724550000000003	Intermediate
HG00251	-1.2383880000000005	Low
HG00252	-0.745147	Intermediate
HG00253	-0.9399840000000002	Intermediate
HG00254	-0.8575779999999997	Intermediate
HG00255	-0.862349	Intermediate
HG00256	-0.7722519999999999	Intermediate
HG00257	-0.799526	Intermediate
HG00258	-0.984485	Intermediate
HG00259	-1.0269100000000002	Intermediate
HG00260	-0.466422	High
HG00261	-1.040426	Intermediate
HG00262	-1.278126	Low
HG00263	-1.416805	Low
HG00264	-1.1373649999999995	Low
HG00265	-0.9678719999999998	Intermediate
HG00266	-1.0101030000000002	Intermediate
HG00267	-1.1372019999999998	Low
HG00268	-0.6724410000000002	Intermediate
HG00269	-1.2878660000000002	Low
