IID	PRS
HG00096	-3.851496599999999
HG00097	-1.3640841600000002
HG00099	-2.91485358
HG00100	-2.5145752000000003
HG00101	-2.3782214000000006
HG00102	-2.9480659
HG00103	-4.0950108300000005
HG00105	-1.6186687
HG00106	-3.8097381999999986
HG00107	0.11068430000000035
HG00108	-3.4713746000000003
HG00109	-2.4281070000000002
HG00110	-5.118722
HG00111	-2.4867582
HG00112	-3.796778310000001
HG00113	-2.4832347000000006
HG00114	-2.6271183000000007
HG00115	-3.2418409999999995
HG00116	-2.3290005
HG00117	-2.6924786999999997
HG00118	0.1672616999999999
HG00119	-3.1246736999999998
HG00120	-1.5550303000000008
HG00121	-1.3714684000000006
HG00122	-2.5468642000000004
HG00123	-3.7715637
HG00125	-4.616841099999999
HG00126	-4.809021410000002
HG00127	-2.6412291900000002
HG00128	-3.7799174
HG00129	-4.0720573
HG00130	-3.74249455
HG00131	-3.8491141000000004
HG00132	-4.433039314000001
HG00133	-3.4657197
HG00136	-4.514764999999999
HG00137	-1.9127325999999993
HG00138	-4.2432659
HG00139	-4.891581400000001
HG00140	-4.0749272
HG00141	-3.032316399999999
HG00142	-4.2258622
HG00143	-2.230057399999999
HG00145	-1.4037658999999993
HG00146	-2.5974940999999996
HG00148	-3.7844092999999996
HG00149	-4.1228492
HG00150	-3.5565504000000003
HG00151	-2.3196333000000005
HG00154	-4.115592600000001
HG00155	-3.70085212
HG00157	-0.5639373000000003
HG00158	-2.8251984
HG00159	-2.7823221999999985
HG00160	-3.6608480999999995
HG00171	-5.222117099999999
HG00173	-3.6252441999999996
HG00174	-4.507530100000001
HG00176	-2.5189888
HG00177	-4.6639964
HG00178	-2.0562286999999992
HG00179	-2.8890341000000004
HG00180	-4.945639900000002
HG00181	-2.1945778000000007
HG00182	-3.4425688000000005
HG00183	-4.52759047
HG00185	-3.189291999999999
HG00186	-3.9870909200000004
HG00187	-3.0899309000000015
HG00188	-4.6351195
HG00189	-3.326067500000001
HG00190	-2.6576993
HG00231	-2.7004387999999997
HG00232	-1.6037310000000002
HG00233	-2.7140531099999996
HG00234	-2.3984787
HG00235	-2.162144399999999
HG00236	-0.9456718000000003
HG00237	-2.5508429999999995
HG00238	-2.181901600000001
HG00239	-2.7837097
HG00240	-3.9820520000000004
HG00242	-3.6687194
HG00243	-1.207308500000001
HG00244	-3.2709453000000006
HG00245	-3.7109635
HG00246	-4.766495529999999
HG00250	-3.1633693999999997
HG00251	-4.695035200000001
HG00252	-2.7746703000000004
HG00253	-2.3811767699999993
HG00254	-2.5596189999999996
HG00255	-3.7877007000000007
HG00256	-3.6155904
HG00257	-2.918612099999999
HG00258	-3.7493162199999994
HG00259	-3.137475299999999
HG00260	-2.7346225099999995
HG00261	-3.885430500000001
HG00262	-4.446992190000001
HG00263	-2.1985676999999995
HG00264	-3.219679
HG00265	-3.2803321
HG00266	-4.3712451
HG00267	-3.520835299999999
HG00268	-0.4155006
HG00269	-4.7583667
HG00271	-1.0528529700000004
HG00272	-4.514276300000001
HG00273	-4.9998949999999995
HG00274	-3.6453000000000007
HG00275	-0.5936430999999993
HG00276	-3.5818635
HG00277	-2.8343533999999995
HG00278	-4.23419
HG00280	-3.847073000000001
HG00281	-4.3557714999999995
HG00282	-1.2467304000000001
HG00284	-4.07331795
HG00285	-5.361912600000001
HG00288	-4.465284
HG00290	-4.2700937
HG00304	-3.5417858
HG00306	-4.1970405
HG00308	-3.6041003000000003
HG00309	-6.102612939999999
HG00310	-1.1242699
HG00311	-2.74178358
HG00313	-3.218112800000001
HG00315	-5.6923935000000006
HG00318	-2.428269200000001
HG00319	-2.387529700000001
HG00320	-4.2051286
HG00321	-3.5192796999999993
HG00323	-2.3224080999999996
HG00324	-4.5779415000000006
HG00325	-3.6454915000000003
HG00326	-5.05192669
HG00327	-3.089079
HG00328	-6.385442579999999
HG00329	-2.891672200000001
HG00330	-1.7226880999999992
HG00331	-3.9261302500000004
HG00332	-2.7351989999999993
HG00334	-4.0541711
HG00335	-3.6048036000000003
HG00336	-2.1237961999999992
HG00337	-2.9957843999999993
HG00338	-3.600228000000001
HG00339	-3.0693729999999997
HG00341	-2.4310892000000006
HG00342	-4.728396999999999
HG00343	-3.9957557
HG00344	-1.602199699999999
HG00345	-2.9722268749999996
HG00346	-1.11341402
HG00349	-4.0485098
HG00350	-3.813888400000001
HG00351	-2.437437
HG00353	-1.4024111000000001
HG00355	-3.8634402000000003
HG00356	-3.8052545999999996
HG00357	-3.3882465999999996
HG00358	-2.8879862499999995
HG00360	-2.6978249
HG00361	-2.5959226
HG00362	-4.076887200000001
HG00364	-4.011643899999999
HG00365	-3.517560256
HG00366	-3.6088462
HG00367	-4.48096694
HG00368	-4.6220083
HG00369	-3.5385576999999997
HG00371	-3.6202484000000004
HG00372	-4.434601499999999
HG00373	-4.494199500000001
HG00375	-3.2453042999999995
HG00376	-4.836775742
HG00378	-3.4075033999999995
HG00379	-4.2916041
HG00380	-3.8310494999999998
HG00381	-5.0141670000000005
HG00382	-0.0218629999999998
HG00383	-3.548989999999999
HG00384	-5.3755289
HG00403	-2.8515039
HG00404	-4.2195488
HG00406	-2.9065391999999997
HG00407	-1.8592944000000002
HG00409	-3.2462355499999997
HG00410	-3.0456471999999994
HG00419	-3.1916892699999995
HG00421	-4.4038643
HG00422	-4.499335200000001
HG00428	-3.4315914000000003
HG00436	-4.49902896
HG00437	-2.1204065
HG00442	-2.5992784
HG00443	-3.5982140100000004
HG00445	-3.0807348
HG00446	-2.3701323999999993
HG00448	-2.4832130560000003
HG00449	-2.9896096000000005
HG00451	-3.9657275000000003
HG00452	-3.2423846999999997
HG00457	-2.2184306299999994
HG00458	-4.1625044
HG00463	-3.5444304999999994
HG00464	-2.2219984
HG00472	-2.6759595899999997
HG00473	-2.866735299999999
HG00475	-2.9947752
HG00476	-3.1062749000000007
HG00478	-2.3279611999999994
HG00479	-3.500209
HG00500	-3.5173389
HG00513	-3.6755619900000007
HG00524	-4.41571456
HG00525	-3.290426299999999
HG00530	-3.2111028999999993
HG00531	-3.589544699999999
HG00533	-3.1629536
HG00534	-2.5886800000000005
HG00536	-3.50005524
HG00537	-3.381506800000001
HG00542	-3.375175876000001
HG00543	-3.5585570599999987
HG00551	-2.279311769999999
HG00553	-2.582657980000001
HG00554	-2.3907652000000006
HG00556	-4.08695533
HG00557	-2.5705786999999996
HG00559	-2.41265992
HG00560	-2.4958434000000005
HG00565	-3.0059825
HG00566	-2.5987586299999994
HG00580	-3.8175633000000007
HG00581	-4.471178899999999
HG00583	-3.1404745200000006
HG00584	-2.5995801999999992
HG00589	-2.872247599999999
HG00590	-2.7486424
HG00592	-3.4933225000000006
HG00593	-2.2736417399999995
HG00595	-1.9067736000000008
HG00596	-2.0516075999999996
HG00598	-3.3263894000000005
HG00599	-3.4955538199999987
HG00607	-1.8824975599999996
HG00608	-4.1178287000000005
HG00610	-3.0378731799999996
HG00611	-2.98923895
HG00613	-2.860894000000001
HG00614	-2.7954496999999994
HG00619	-3.7136005
HG00620	-2.3994803000000005
HG00622	-2.9467253999999996
HG00623	-4.1512511
HG00625	-1.5491194000000004
HG00626	-2.42316451
HG00628	-3.0349920000000004
HG00629	-4.629238699999999
HG00631	-2.7036381699999996
HG00632	-1.6510199200000004
HG00634	-1.8856435999999994
HG00637	-4.03464231
HG00638	-4.375664899999999
HG00640	-3.5659652000000004
HG00641	-1.1375138000000007
HG00650	-4.016381328
HG00651	-2.8851834000000003
HG00653	-2.2416501099999997
HG00654	-0.7209831999999999
HG00656	-3.1320404000000006
HG00657	-2.8643302000000004
HG00662	-3.4905302000000007
HG00663	-1.4441124000000005
HG00671	-2.8436083
HG00672	-3.2897575
HG00674	-4.5153024
HG00675	-2.1727671999999996
HG00683	-3.5732548800000004
HG00684	-2.7433119999999995
