IID	PRS	Risk_Group
HG00096	-3.851496599999999	Low
HG00097	-1.3640841600000002	Intermediate
HG00099	-2.91485358	Intermediate
HG00100	-2.5145752000000003	Intermediate
HG00101	-2.3782214000000006	Intermediate
HG00102	-2.9480659	Intermediate
HG00103	-4.0950108300000005	Low
HG00105	-1.6186687	Intermediate
HG00106	-3.809738199999999	Low
HG00107	0.1106843000000003	High
HG00108	-3.4713746000000003	Intermediate
HG00109	-2.428107	Intermediate
HG00110	-5.118722	Low
HG00111	-2.4867582	Intermediate
HG00112	-3.796778310000001	Low
HG00113	-2.483234700000001	Intermediate
HG00114	-2.6271183000000007	Intermediate
HG00115	-3.2418409999999995	Intermediate
HG00116	-2.3290005	Intermediate
HG00117	-2.6924787	Intermediate
HG00118	0.1672616999999999	High
HG00119	-3.1246737	Intermediate
HG00120	-1.5550303000000008	Intermediate
HG00121	-1.3714684000000006	Intermediate
HG00122	-2.5468642000000004	Intermediate
HG00123	-3.7715637	Low
HG00125	-4.616841099999999	Low
HG00126	-4.809021410000002	Low
HG00127	-2.64122919	Intermediate
HG00128	-3.7799174	Low
HG00129	-4.0720573	Low
HG00130	-3.74249455	Low
HG00131	-3.8491141	Low
HG00132	-4.433039314000001	Low
HG00133	-3.4657197	Intermediate
HG00136	-4.514764999999999	Low
HG00137	-1.9127325999999996	Intermediate
HG00138	-4.2432659	Low
HG00139	-4.891581400000001	Low
HG00140	-4.0749272	Low
HG00141	-3.032316399999999	Intermediate
HG00142	-4.2258622	Low
HG00143	-2.230057399999999	Intermediate
HG00145	-1.4037658999999991	Intermediate
HG00146	-2.5974941	Intermediate
HG00148	-3.7844093	Low
HG00149	-4.1228492	Low
HG00150	-3.5565504000000003	Intermediate
HG00151	-2.3196333000000005	Intermediate
HG00154	-4.115592600000001	Low
HG00155	-3.70085212	Low
HG00157	-0.5639373000000003	High
HG00158	-2.8251984	Intermediate
HG00159	-2.7823221999999985	Intermediate
HG00160	-3.6608481	Low
HG00171	-5.222117099999999	Low
HG00173	-3.6252442	Low
HG00174	-4.507530100000001	Low
HG00176	-2.5189888	Intermediate
HG00177	-4.6639964	Low
HG00178	-2.0562286999999992	Intermediate
HG00179	-2.8890341000000004	Intermediate
HG00180	-4.945639900000002	Low
HG00181	-2.1945778000000007	Intermediate
HG00182	-3.4425688000000005	Intermediate
HG00183	-4.52759047	Low
HG00185	-3.189291999999999	Intermediate
HG00186	-3.98709092	Low
HG00187	-3.089930900000001	Intermediate
HG00188	-4.6351195	Low
HG00189	-3.326067500000001	Intermediate
HG00190	-2.6576993	Intermediate
HG00231	-2.7004388	Intermediate
HG00232	-1.6037310000000002	Intermediate
HG00233	-2.71405311	Intermediate
HG00234	-2.3984787	Intermediate
HG00235	-2.162144399999999	Intermediate
HG00236	-0.9456718000000004	High
HG00237	-2.5508429999999995	Intermediate
HG00238	-2.181901600000001	Intermediate
HG00239	-2.7837097	Intermediate
HG00240	-3.982052	Low
HG00242	-3.6687194	Low
HG00243	-1.207308500000001	High
HG00244	-3.2709453000000006	Intermediate
HG00245	-3.7109635	Low
HG00246	-4.766495529999999	Low
HG00250	-3.1633694	Intermediate
HG00251	-4.695035200000001	Low
HG00252	-2.7746703000000004	Intermediate
HG00253	-2.3811767699999997	Intermediate
HG00254	-2.559619	Intermediate
HG00255	-3.7877007000000007	Low
HG00256	-3.6155904	Low
HG00257	-2.918612099999999	Intermediate
HG00258	-3.74931622	Low
HG00259	-3.137475299999999	Intermediate
HG00260	-2.7346225099999995	Intermediate
HG00261	-3.885430500000001	Low
HG00262	-4.446992190000001	Low
HG00263	-2.1985676999999995	Intermediate
HG00264	-3.219679	Intermediate
HG00265	-3.2803321	Intermediate
HG00266	-4.3712451	Low
HG00267	-3.520835299999999	Intermediate
HG00268	-0.4155006	High
HG00269	-4.7583667	Low
HG00271	-1.0528529700000004	High
HG00272	-4.514276300000001	Low
HG00273	-4.999895	Low
HG00274	-3.6453000000000007	Low
HG00275	-0.5936430999999993	High
HG00276	-3.5818635	Low
HG00277	-2.8343533999999995	Intermediate
HG00278	-4.23419	Low
HG00280	-3.847073000000001	Low
HG00281	-4.3557715	Low
HG00282	-1.2467304	High
HG00284	-4.07331795	Low
HG00285	-5.361912600000001	Low
HG00288	-4.465284	Low
HG00290	-4.2700937	Low
HG00304	-3.5417858	Intermediate
HG00306	-4.1970405	Low
HG00308	-3.6041003	Low
HG00309	-6.102612939999999	Low
HG00310	-1.1242699	High
HG00311	-2.74178358	Intermediate
HG00313	-3.218112800000001	Intermediate
HG00315	-5.6923935000000006	Low
HG00318	-2.428269200000001	Intermediate
HG00319	-2.387529700000001	Intermediate
HG00320	-4.2051286	Low
HG00321	-3.5192797	Intermediate
HG00323	-2.3224081	Intermediate
HG00324	-4.5779415000000006	Low
HG00325	-3.6454915	Low
HG00326	-5.05192669	Low
HG00327	-3.089079	Intermediate
HG00328	-6.385442579999999	Low
HG00329	-2.891672200000001	Intermediate
HG00330	-1.7226880999999992	Intermediate
HG00331	-3.92613025	Low
HG00332	-2.7351989999999997	Intermediate
HG00334	-4.0541711	Low
HG00335	-3.6048036	Low
HG00336	-2.1237961999999992	Intermediate
HG00337	-2.9957844	Intermediate
HG00338	-3.600228000000001	Low
HG00339	-3.069373	Intermediate
HG00341	-2.4310892000000006	Intermediate
HG00342	-4.728396999999999	Low
HG00343	-3.9957557	Low
HG00344	-1.602199699999999	Intermediate
HG00345	-2.972226875	Intermediate
HG00346	-1.11341402	High
HG00349	-4.0485098	Low
HG00350	-3.813888400000001	Low
HG00351	-2.437437	Intermediate
HG00353	-1.4024111	Intermediate
HG00355	-3.8634402	Low
HG00356	-3.8052546	Low
HG00357	-3.3882466	Intermediate
HG00358	-2.8879862499999995	Intermediate
HG00360	-2.6978249	Intermediate
HG00361	-2.5959226	Intermediate
HG00362	-4.076887200000001	Low
HG00364	-4.011643899999999	Low
HG00365	-3.517560256	Intermediate
HG00366	-3.6088462	Low
HG00367	-4.48096694	Low
HG00368	-4.6220083	Low
HG00369	-3.5385577	Intermediate
HG00371	-3.6202484	Low
HG00372	-4.434601499999999	Low
HG00373	-4.494199500000001	Low
HG00375	-3.2453042999999995	Intermediate
HG00376	-4.836775742	Low
HG00378	-3.4075033999999995	Intermediate
HG00379	-4.2916041	Low
HG00380	-3.8310495	Low
HG00381	-5.0141670000000005	Low
HG00382	-0.0218629999999998	High
HG00383	-3.548989999999999	Intermediate
HG00384	-5.3755289	Low
HG00403	-2.8515039	Intermediate
HG00404	-4.2195488	Low
HG00406	-2.9065392	Intermediate
HG00407	-1.8592944	Intermediate
HG00409	-3.24623555	Intermediate
HG00410	-3.0456471999999994	Intermediate
HG00419	-3.1916892699999995	Intermediate
HG00421	-4.4038643	Low
HG00422	-4.499335200000001	Low
HG00428	-3.4315914000000003	Intermediate
HG00436	-4.49902896	Low
HG00437	-2.1204065	Intermediate
HG00442	-2.5992784	Intermediate
HG00443	-3.5982140100000004	Low
HG00445	-3.0807348	Intermediate
HG00446	-2.3701323999999997	Intermediate
HG00448	-2.4832130560000003	Intermediate
HG00449	-2.9896096000000005	Intermediate
HG00451	-3.9657275	Low
HG00452	-3.2423847	Intermediate
HG00457	-2.2184306299999994	Intermediate
HG00458	-4.1625044	Low
HG00463	-3.5444305	Intermediate
HG00464	-2.2219984	Intermediate
HG00472	-2.67595959	Intermediate
HG00473	-2.866735299999999	Intermediate
HG00475	-2.9947752	Intermediate
HG00476	-3.1062749000000007	Intermediate
HG00478	-2.3279611999999994	Intermediate
HG00479	-3.500209	Intermediate
HG00500	-3.5173389	Intermediate
HG00513	-3.6755619900000007	Low
HG00524	-4.41571456	Low
HG00525	-3.290426299999999	Intermediate
HG00530	-3.2111028999999998	Intermediate
HG00531	-3.589544699999999	Low
HG00533	-3.1629536	Intermediate
HG00534	-2.5886800000000005	Intermediate
HG00536	-3.50005524	Intermediate
HG00537	-3.381506800000001	Intermediate
HG00542	-3.375175876000001	Intermediate
HG00543	-3.5585570599999987	Intermediate
HG00551	-2.279311769999999	Intermediate
HG00553	-2.582657980000001	Intermediate
HG00554	-2.3907652000000006	Intermediate
