IID	PRS
HG00096	-16.998500000000003
HG00097	-16.9645
HG00099	-22.414
HG00100	-22.057000000000006
HG00101	-19.4984
HG00102	-21.0954
HG00103	-20.213100000000008
HG00105	-22.976999999999993
HG00106	-20.63110000000001
HG00107	-20.391399999999997
HG00108	-24.4866
HG00109	-22.2842
HG00110	-22.839899999999993
HG00111	-19.9906
HG00112	-21.521100000000004
HG00113	-24.112400000000004
HG00114	-20.924
HG00115	-20.5497
HG00116	-22.3356
HG00117	-22.549800000000005
HG00118	-21.790299999999995
HG00119	-22.4077
HG00120	-20.0112
HG00121	-21.5491
HG00122	-20.2405
HG00123	-23.765599999999992
HG00125	-23.084800000000005
HG00126	-21.539700000000003
HG00127	-22.55299999999999
HG00128	-20.8616
HG00129	-21.2663
HG00130	-21.94
HG00131	-20.831799999999998
HG00132	-19.4187
HG00133	-25.9093
HG00136	-24.245599999999992
HG00137	-16.481100000000005
HG00138	-21.2047
HG00139	-20.717599999999994
HG00140	-22.7468
HG00141	-23.033299999999997
HG00142	-20.02540000000001
HG00143	-19.867000000000004
HG00145	-24.725300000000004
HG00146	-20.493000000000006
HG00148	-17.706200000000003
HG00149	-22.3373
HG00150	-26.703699999999998
HG00151	-21.3478
HG00154	-23.578899999999994
HG00155	-23.836700000000004
HG00157	-20.9339
HG00158	-23.1043
HG00159	-21.298199999999994
HG00160	-22.4631
HG00171	-21.388800000000003
HG00173	-21.351300000000002
HG00174	-22.7492
HG00176	-26.511900000000004
HG00177	-21.740500000000008
HG00178	-18.861699999999995
HG00179	-21.096199999999996
HG00180	-21.803500000000007
HG00181	-16.0893
HG00182	-21.8796
HG00183	-22.408599999999996
HG00185	-21.851599999999994
HG00186	-24.242799999999995
HG00187	-19.078699999999998
HG00188	-20.305699999999998
HG00189	-23.462799999999994
HG00190	-27.1279
HG00231	-23.543400000000005
HG00232	-23.198200000000003
HG00233	-24.4672
HG00234	-19.0827
HG00235	-21.147100000000005
HG00236	-24.1231
HG00237	-19.9972
HG00238	-23.2149
HG00239	-25.818100000000005
HG00240	-26.807399999999994
HG00242	-23.6929
HG00243	-21.431600000000003
HG00244	-24.812400000000004
HG00245	-26.008699999999997
HG00246	-21.825000000000006
HG00250	-24.274499999999996
HG00251	-23.554500000000004
HG00252	-24.69039999999999
HG00253	-21.851700000000005
HG00254	-25.384700000000006
HG00255	-22.957699999999996
HG00256	-24.406299999999998
HG00257	-21.5572
HG00258	-25.219099999999994
HG00259	-21.198300000000003
HG00260	-24.201800000000002
HG00261	-17.622999999999998
HG00262	-25.439800000000012
HG00263	-22.937700000000003
HG00264	-24.903899999999993
HG00265	-21.4324
HG00266	-19.927999999999994
HG00267	-19.274
HG00268	-24.218099999999996
HG00269	-20.831199999999995
HG00271	-21.5409
HG00272	-20.3578
HG00273	-21.239500000000007
