IID	PRS	PRS_Group
HG00096	-16.998500000000003	High
HG00097	-16.9645	High
HG00099	-22.414	Intermediate
HG00100	-22.05700000000001	Intermediate
HG00101	-19.4984	High
HG00102	-21.0954	Intermediate
HG00103	-20.213100000000008	High
HG00105	-22.976999999999997	Intermediate
HG00106	-20.63110000000001	Intermediate
HG00107	-20.3914	Intermediate
HG00108	-24.4866	Low
HG00109	-22.2842	Intermediate
HG00110	-22.839899999999997	Intermediate
HG00111	-19.9906	High
HG00112	-21.521100000000004	Intermediate
HG00113	-24.112400000000004	Low
HG00114	-20.924	Intermediate
HG00115	-20.5497	Intermediate
HG00116	-22.3356	Intermediate
HG00117	-22.549800000000005	Intermediate
HG00118	-21.790299999999995	Intermediate
HG00119	-22.4077	Intermediate
HG00120	-20.0112	High
HG00121	-21.5491	Intermediate
HG00122	-20.2405	High
HG00123	-23.765599999999992	Low
HG00125	-23.084800000000005	Intermediate
HG00126	-21.539700000000003	Intermediate
HG00127	-22.55299999999999	Intermediate
HG00128	-20.8616	Intermediate
HG00129	-21.2663	Intermediate
HG00130	-21.94	Intermediate
HG00131	-20.8318	Intermediate
HG00132	-19.4187	High
HG00133	-25.9093	Low
HG00136	-24.245599999999992	Low
HG00137	-16.481100000000005	High
HG00138	-21.2047	Intermediate
HG00139	-20.717599999999997	Intermediate
HG00140	-22.7468	Intermediate
HG00141	-23.0333	Intermediate
HG00142	-20.02540000000001	High
HG00143	-19.867000000000004	High
HG00145	-24.725300000000004	Low
HG00146	-20.49300000000001	Intermediate
HG00148	-17.706200000000003	High
HG00149	-22.3373	Intermediate
HG00150	-26.7037	Low
HG00151	-21.3478	Intermediate
HG00154	-23.578899999999997	Low
HG00155	-23.836700000000004	Low
HG00157	-20.9339	Intermediate
HG00158	-23.1043	Intermediate
HG00159	-21.298199999999994	Intermediate
HG00160	-22.4631	Intermediate
HG00171	-21.388800000000003	Intermediate
HG00173	-21.3513	Intermediate
HG00174	-22.7492	Intermediate
HG00176	-26.511900000000004	Low
HG00177	-21.740500000000008	Intermediate
HG00178	-18.861699999999995	High
HG00179	-21.0962	Intermediate
HG00180	-21.803500000000007	Intermediate
HG00181	-16.0893	High
HG00182	-21.8796	Intermediate
HG00183	-22.4086	Intermediate
HG00185	-21.851599999999998	Intermediate
HG00186	-24.242799999999995	Low
HG00187	-19.0787	High
HG00188	-20.3057	High
HG00189	-23.462799999999994	Low
HG00190	-27.1279	Low
HG00231	-23.543400000000005	Low
HG00232	-23.198200000000003	Intermediate
HG00233	-24.4672	Low
HG00234	-19.0827	High
HG00235	-21.147100000000005	Intermediate
HG00236	-24.1231	Low
HG00237	-19.9972	High
HG00238	-23.2149	Intermediate
HG00239	-25.818100000000005	Low
HG00240	-26.807399999999998	Low
HG00242	-23.6929	Low
HG00243	-21.431600000000003	Intermediate
HG00244	-24.812400000000004	Low
HG00245	-26.0087	Low
HG00246	-21.825000000000006	Intermediate
