"chromosome"	"PGS_variants"	"coordinate_matches"	"ALT_effect"	"REF_effect"	"MISMATCH"	"scored_variants"	"samples"	"missing_scores"	"PRS_mean"	"PRS_SD"	"PRS_min"	"PRS_max"
"1"	"79706"	"79710"	"54567"	"25141"	"2"	"79706"	"2504"	"0"	"-0.04885681059073482"	"0.07700964541941943"	"-0.349129"	"0.238884"
"2"	"82200"	"82201"	"55213"	"9176"	"17812"	"64389"	"2504"	"0"	"0.01733274861956869"	"0.05827558019659415"	"-0.175782"	"0.222035"
"3"	"68451"	"68452"	"46104"	"7336"	"15012"	"53440"	"2504"	"0"	"0.024356056533186902"	"0.0661542400113659"	"-0.198767"	"0.245402"
"4"	"60559"	"60559"	"40165"	"6621"	"13773"	"46786"	"2504"	"0"	"0.02530395694297125"	"0.049660903853116924"	"-0.144185"	"0.187757"
"5"	"61721"	"61722"	"42745"	"6754"	"12223"	"49499"	"2504"	"0"	"0.02279699110131789"	"0.05123405834037591"	"-0.150504"	"0.202573"
"6"	"60654"	"60655"	"42695"	"5842"	"12118"	"48537"	"2504"	"0"	"-0.02468755165930511"	"0.04971396206542095"	"-0.205238"	"0.156116"
"7"	"53785"	"53785"	"37216"	"5385"	"11184"	"42601"	"2504"	"0"	"0.07038380201737221"	"0.060628827283835965"	"-0.11342"	"0.266795"
"8"	"53184"	"53186"	"36041"	"5701"	"11444"	"41742"	"2504"	"0"	"0.1434585793103834"	"0.0679213505506008"	"-0.101004"	"0.326783"
"9"	"45034"	"45034"	"31225"	"4552"	"9257"	"35777"	"2504"	"0"	"-0.03127299148023163"	"0.035531666036179056"	"-0.168339"	"0.0969272"
"10"	"52443"	"52444"	"36115"	"5655"	"10674"	"41770"	"2504"	"0"	"-0.050740448496609435"	"0.03792768964655141"	"-0.18311"	"0.0912578"
"11"	"50205"	"50206"	"34039"	"5504"	"10663"	"39543"	"2504"	"0"	"0.0075836186817492"	"0.04818102758548295"	"-0.174267"	"0.142398"
"12"	"47734"	"47736"	"33042"	"4796"	"9898"	"37838"	"2504"	"0"	"0.06206071182416134"	"0.04889402617157917"	"-0.108524"	"0.220592"
"13"	"36050"	"36050"	"24393"	"4026"	"7631"	"28419"	"2504"	"0"	"0.05082318922488019"	"0.035016812002616735"	"-0.111692"	"0.151502"
"14"	"31821"	"31821"	"21896"	"3373"	"6552"	"25269"	"2504"	"0"	"0.060468963930191695"	"0.042081012498664784"	"-0.0714141"	"0.192015"
"15"	"29089"	"29089"	"19459"	"3452"	"6178"	"22911"	"2504"	"0"	"-0.019942931049852237"	"0.040206624305820254"	"-0.17591"	"0.107313"
"16"	"29086"	"29086"	"19633"	"2948"	"6505"	"22581"	"2504"	"0"	"0.04391179375015975"	"0.03839147003738128"	"-0.0974649"	"0.180046"
"17"	"25362"	"25362"	"16934"	"3007"	"5421"	"19941"	"2504"	"0"	"0.01980802219595048"	"0.03680499034318456"	"-0.118926"	"0.149116"
"18"	"28770"	"28770"	"19579"	"3037"	"6154"	"22616"	"2504"	"0"	"0.009608638217077076"	"0.03707444649260567"	"-0.123319"	"0.131151"
"19"	"15966"	"15968"	"10828"	"1698"	"3442"	"12526"	"2504"	"0"	"0.023573271190347442"	"0.026804647995773086"	"-0.0647907"	"0.116994"
"20"	"25040"	"25041"	"17825"	"2379"	"4837"	"20204"	"2504"	"0"	"0.01244532718554313"	"0.028345850639503224"	"-0.102198"	"0.0985386"
"21"	"13900"	"13902"	"9402"	"1509"	"2991"	"10911"	"2504"	"0"	"0.007051134636541534"	"0.019864181016558707"	"-0.0623232"	"0.0662814"
"22"	"13604"	"13604"	"9506"	"1359"	"2739"	"10865"	"2504"	"0"	"0.006182195416853036"	"0.025191451282400423"	"-0.0807877"	"0.0941309"
