IID	T2D_PRS	Relative_PRS_Group
HG00096	-2442.597800000001	High
HG00097	-2474.6562	Intermediate
HG00099	-2448.1238999999996	High
HG00100	-2455.2794	High
HG00101	-2438.4611999999997	High
HG00102	-2466.7490999999995	High
HG00103	-2478.0435999999995	Intermediate
HG00105	-2458.1332999999995	High
HG00106	-2469.2619000000004	High
HG00107	-2472.0277999999994	Intermediate
HG00108	-2468.4377999999992	High
HG00109	-2460.9196	High
HG00110	-2451.138499999999	High
HG00111	-2446.2934999999993	High
HG00112	-2467.9488	High
HG00113	-2459.8315999999995	High
HG00114	-2460.8738999999996	High
HG00115	-2468.5100000000007	High
HG00116	-2475.8348000000005	Intermediate
HG00117	-2438.5932	High
HG00118	-2446.2478999999994	High
HG00119	-2446.4786	High
HG00120	-2453.2962999999995	High
HG00121	-2446.7003	High
HG00122	-2466.3515	High
HG00123	-2474.7486	Intermediate
HG00125	-2488.3007000000002	Intermediate
HG00126	-2461.8565000000003	High
HG00127	-2457.1648999999998	High
HG00128	-2465.2036000000003	High
HG00129	-2479.4252000000006	Intermediate
HG00130	-2457.4402	High
HG00131	-2438.8189999999995	High
HG00132	-2475.3468	Intermediate
HG00133	-2451.2538000000004	High
HG00136	-2460.3590000000004	High
HG00137	-2451.8744	High
HG00138	-2451.4285000000004	High
HG00139	-2476.0953000000004	Intermediate
HG00140	-2434.2766000000006	High
HG00141	-2459.8972999999996	High
HG00142	-2463.8136999999997	High
HG00143	-2450.1648	High
HG00145	-2456.0594	High
HG00146	-2459.0408000000007	High
HG00148	-2441.2514000000006	High
HG00149	-2482.8697	Intermediate
HG00150	-2462.3079000000002	High
HG00151	-2468.135	High
HG00154	-2465.7382	High
HG00155	-2464.8888	High
HG00157	-2455.641899999999	High
HG00158	-2446.321	High
HG00159	-2460.2832000000003	High
HG00160	-2479.5073999999995	Intermediate
HG00171	-2446.933	High
HG00173	-2406.6862999999994	High
HG00174	-2446.5762	High
HG00176	-2412.6694	High
HG00177	-2417.6211999999996	High
HG00178	-2449.5272000000004	High
HG00179	-2461.0027999999998	High
HG00180	-2449.4067999999997	High
HG00181	-2451.9486	High
HG00182	-2424.2482	High
HG00183	-2463.9964999999993	High
HG00185	-2423.2595000000006	High
HG00186	-2419.081	High
