Group1	Group2	Z	Raw_P	Holm_Adjusted_P	Significant
AFR	AMR	-28.843727688955187	6.0731427387773375e-183	4.85851419102187e-182	True
AFR	EAS	-9.260201582245658	2.040466160909914e-20	6.121398482729742e-20	True
AFR	EUR	-41.66125540781492	0.0	0.0	True
AFR	SAS	-22.838428576068612	1.9045233195872275e-115	1.3331663237110593e-114	True
AMR	EAS	19.561177736202442	3.313353763496692e-85	1.9880122580980152e-84	True
AMR	EUR	-7.923163745637236	2.3154233717915432e-15	4.6308467435830864e-15	True
AMR	SAS	7.833788477011709	4.733849264519482e-15	4.733849264519482e-15	True
EAS	EUR	-30.423233327818	2.7077969917503105e-203	2.4370172925752794e-202	True
EAS	SAS	-12.83419868280704	1.0548876401269835e-37	4.219550560507934e-37	True
EUR	SAS	17.364881858000548	1.5221286157042868e-67	7.610643078521434e-67	True
