Population_1	Population_2	N1	N2	Mean_Rank_1	Mean_Rank_2	Rank_Difference	Z	Raw_P_value	Holm_Adjusted_P	Significant	Significance
AFR	AMR	661	347	1832.7972768532527	1229.4899135446685	603.3073633085842	12.587614169002709	2.4702733839840065e-36	1.7291913687888046e-35	True	p < 0.001
AFR	EAS	661	504	1832.7972768532527	1358.4761904761904	474.32108637706233	11.094176297686568	1.33887686354384e-28	6.6943843177192e-28	True	p < 0.001
AFR	EUR	661	503	1832.7972768532527	633.427435387674	1199.3698414655787	28.036961930270717	5.760479734163446e-173	5.760479734163446e-172	True	p < 0.001
AFR	SAS	661	489	1832.7972768532527	1011.9877300613497	820.809546791903	19.0334814788305	9.006543910138962e-81	8.105889519125066e-80	True	p < 0.001
AMR	EAS	347	504	1229.4899135446685	1358.4761904761904	-128.98627693152184	-2.557574708812871	0.010540491402667964	0.010540491402667964	True	p < 0.05
AMR	EUR	347	503	1229.4899135446685	633.427435387674	596.0624781569945	11.814100113609735	3.300640156406969e-32	1.9803840938441816e-31	True	p < 0.001
AMR	SAS	347	489	1229.4899135446685	1011.9877300613497	217.50218348331884	4.2859711665624465	1.8194258684807088e-05	3.6388517369614176e-05	True	p < 0.001
EAS	EUR	504	503	1358.4761904761904	633.427435387674	725.0487550885164	15.91187404414064	5.242057875276943e-57	4.193646300221554e-56	True	p < 0.001
EAS	SAS	504	489	1358.4761904761904	1011.9877300613497	346.4884604148407	7.5501128757102505	4.348811737380384e-14	1.3046435212141153e-13	True	p < 0.001
EUR	SAS	503	489	633.427435387674	1011.9877300613497	-378.5602946736757	-8.2449351232718	1.6524985242147173e-16	6.609994096858869e-16	True	p < 0.001
