IID	PRS	Risk_Group	pop	super_pop	gender
HG00096	-3.851496599999999	Low	GBR	EUR	male
HG00097	-1.3640841600000002	Intermediate	GBR	EUR	female
HG00099	-2.91485358	Intermediate	GBR	EUR	female
HG00100	-2.5145752000000003	Intermediate	GBR	EUR	female
HG00101	-2.3782214000000006	Intermediate	GBR	EUR	male
HG00102	-2.9480659	Intermediate	GBR	EUR	female
HG00103	-4.0950108300000005	Low	GBR	EUR	male
HG00105	-1.6186687	Intermediate	GBR	EUR	male
HG00106	-3.809738199999999	Low	GBR	EUR	female
HG00107	0.1106843000000003	High	GBR	EUR	male
HG00108	-3.4713746000000003	Intermediate	GBR	EUR	male
HG00109	-2.428107	Intermediate	GBR	EUR	male
HG00110	-5.118722	Low	GBR	EUR	female
HG00111	-2.4867582	Intermediate	GBR	EUR	female
HG00112	-3.796778310000001	Low	GBR	EUR	male
HG00113	-2.483234700000001	Intermediate	GBR	EUR	male
HG00114	-2.6271183000000007	Intermediate	GBR	EUR	male
HG00115	-3.2418409999999995	Intermediate	GBR	EUR	male
HG00116	-2.3290005	Intermediate	GBR	EUR	male
HG00117	-2.6924787	Intermediate	GBR	EUR	male
HG00118	0.1672616999999999	High	GBR	EUR	female
HG00119	-3.1246737	Intermediate	GBR	EUR	male
HG00120	-1.5550303000000008	Intermediate	GBR	EUR	female
HG00121	-1.3714684000000006	Intermediate	GBR	EUR	female
HG00122	-2.5468642000000004	Intermediate	GBR	EUR	female
HG00123	-3.7715637	Low	GBR	EUR	female
HG00125	-4.616841099999999	Low	GBR	EUR	female
HG00126	-4.809021410000002	Low	GBR	EUR	male
HG00127	-2.64122919	Intermediate	GBR	EUR	female
HG00128	-3.7799174	Low	GBR	EUR	female
HG00129	-4.0720573	Low	GBR	EUR	male
HG00130	-3.74249455	Low	GBR	EUR	female
HG00131	-3.8491141	Low	GBR	EUR	male
HG00132	-4.433039314000001	Low	GBR	EUR	female
HG00133	-3.4657197	Intermediate	GBR	EUR	female
HG00136	-4.514764999999999	Low	GBR	EUR	male
HG00137	-1.9127326	Intermediate	GBR	EUR	female
HG00138	-4.2432659	Low	GBR	EUR	male
HG00139	-4.891581400000001	Low	GBR	EUR	male
HG00140	-4.0749272	Low	GBR	EUR	male
HG00141	-3.032316399999999	Intermediate	GBR	EUR	male
HG00142	-4.2258622	Low	GBR	EUR	male
HG00143	-2.230057399999999	Intermediate	GBR	EUR	male
HG00145	-1.4037658999999991	Intermediate	GBR	EUR	male
HG00146	-2.5974941	Intermediate	GBR	EUR	female
HG00148	-3.7844093	Low	GBR	EUR	male
HG00149	-4.1228492	Low	GBR	EUR	male
HG00150	-3.5565504000000003	Intermediate	GBR	EUR	female
HG00151	-2.3196333000000005	Intermediate	GBR	EUR	male
HG00154	-4.115592600000001	Low	GBR	EUR	female
HG00155	-3.70085212	Low	GBR	EUR	male
HG00157	-0.5639373000000003	High	GBR	EUR	male
HG00158	-2.8251984	Intermediate	GBR	EUR	female
HG00159	-2.7823221999999985	Intermediate	GBR	EUR	male
HG00160	-3.6608481	Low	GBR	EUR	male
HG00171	-5.222117099999999	Low	FIN	EUR	female
HG00173	-3.6252442	Low	FIN	EUR	female
HG00174	-4.507530100000001	Low	FIN	EUR	female
HG00176	-2.5189888	Intermediate	FIN	EUR	female
HG00177	-4.6639964	Low	FIN	EUR	female
HG00178	-2.0562286999999992	Intermediate	FIN	EUR	female
HG00179	-2.8890341000000004	Intermediate	FIN	EUR	female
HG00180	-4.945639900000002	Low	FIN	EUR	female
HG00181	-2.1945778000000007	Intermediate	FIN	EUR	male
HG00182	-3.4425688000000005	Intermediate	FIN	EUR	male
HG00183	-4.52759047	Low	FIN	EUR	male
HG00185	-3.189291999999999	Intermediate	FIN	EUR	male
HG00186	-3.98709092	Low	FIN	EUR	male
HG00187	-3.089930900000001	Intermediate	FIN	EUR	male
HG00188	-4.6351195	Low	FIN	EUR	male
HG00189	-3.326067500000001	Intermediate	FIN	EUR	male
HG00190	-2.6576993	Intermediate	FIN	EUR	male
HG00231	-2.7004388	Intermediate	GBR	EUR	female
HG00232	-1.6037310000000002	Intermediate	GBR	EUR	female
HG00233	-2.71405311	Intermediate	GBR	EUR	female
HG00234	-2.3984787	Intermediate	GBR	EUR	male
HG00235	-2.162144399999999	Intermediate	GBR	EUR	female
HG00236	-0.9456718000000004	High	GBR	EUR	female
HG00237	-2.5508429999999995	Intermediate	GBR	EUR	female
HG00238	-2.181901600000001	Intermediate	GBR	EUR	female
HG00239	-2.7837097	Intermediate	GBR	EUR	female
HG00240	-3.982052	Low	GBR	EUR	female
HG00242	-3.6687194	Low	GBR	EUR	male
HG00243	-1.207308500000001	High	GBR	EUR	male
HG00244	-3.2709453000000006	Intermediate	GBR	EUR	male
HG00245	-3.7109635	Low	GBR	EUR	female
HG00246	-4.766495529999999	Low	GBR	EUR	male
HG00250	-3.1633694	Intermediate	GBR	EUR	female
HG00251	-4.695035200000001	Low	GBR	EUR	male
HG00252	-2.7746703000000004	Intermediate	GBR	EUR	male
HG00253	-2.38117677	Intermediate	GBR	EUR	female
HG00254	-2.559619	Intermediate	GBR	EUR	female
HG00255	-3.7877007000000007	Low	GBR	EUR	female
HG00256	-3.6155904	Low	GBR	EUR	male
HG00257	-2.918612099999999	Intermediate	GBR	EUR	female
HG00258	-3.74931622	Low	GBR	EUR	female
HG00259	-3.137475299999999	Intermediate	GBR	EUR	female
HG00260	-2.7346225099999995	Intermediate	GBR	EUR	male
HG00261	-3.885430500000001	Low	GBR	EUR	female
HG00262	-4.446992190000001	Low	GBR	EUR	female
HG00263	-2.1985676999999995	Intermediate	GBR	EUR	female
HG00264	-3.219679	Intermediate	GBR	EUR	male
HG00265	-3.2803321	Intermediate	GBR	EUR	male
HG00266	-4.3712451	Low	FIN	EUR	female
HG00267	-3.520835299999999	Intermediate	FIN	EUR	male
HG00268	-0.4155006	High	FIN	EUR	female
HG00269	-4.7583667	Low	FIN	EUR	female
HG00271	-1.0528529700000004	High	FIN	EUR	male
HG00272	-4.514276300000001	Low	FIN	EUR	female
HG00273	-4.999895	Low	FIN	EUR	male
HG00274	-3.6453000000000007	Low	FIN	EUR	female
HG00275	-0.5936430999999993	High	FIN	EUR	female
HG00276	-3.5818635	Low	FIN	EUR	female
HG00277	-2.8343533999999995	Intermediate	FIN	EUR	male
HG00278	-4.23419	Low	FIN	EUR	male
HG00280	-3.847073000000001	Low	FIN	EUR	male
HG00281	-4.3557715	Low	FIN	EUR	female
HG00282	-1.2467304	High	FIN	EUR	female
HG00284	-4.07331795	Low	FIN	EUR	male
HG00285	-5.361912600000001	Low	FIN	EUR	female
HG00288	-4.465284	Low	FIN	EUR	female
HG00290	-4.2700937	Low	FIN	EUR	male
HG00304	-3.5417858	Intermediate	FIN	EUR	female
HG00306	-4.1970405	Low	FIN	EUR	female
HG00308	-3.6041003	Low	FIN	EUR	male
HG00309	-6.102612939999999	Low	FIN	EUR	female
HG00310	-1.1242699	High	FIN	EUR	male
HG00311	-2.74178358	Intermediate	FIN	EUR	male
HG00313	-3.218112800000001	Intermediate	FIN	EUR	female
HG00315	-5.6923935000000006	Low	FIN	EUR	female
HG00318	-2.428269200000001	Intermediate	FIN	EUR	female
HG00319	-2.387529700000001	Intermediate	FIN	EUR	female
HG00320	-4.2051286	Low	FIN	EUR	female
HG00321	-3.5192797	Intermediate	FIN	EUR	male
HG00323	-2.3224081	Intermediate	FIN	EUR	female
HG00324	-4.5779415000000006	Low	FIN	EUR	female
HG00325	-3.6454915	Low	FIN	EUR	male
HG00326	-5.05192669	Low	FIN	EUR	female
HG00327	-3.089079	Intermediate	FIN	EUR	female
HG00328	-6.385442579999999	Low	FIN	EUR	female
HG00329	-2.891672200000001	Intermediate	FIN	EUR	male
HG00330	-1.7226880999999992	Intermediate	FIN	EUR	female
HG00331	-3.92613025	Low	FIN	EUR	female
HG00332	-2.735199	Intermediate	FIN	EUR	female
HG00334	-4.0541711	Low	FIN	EUR	female
HG00335	-3.6048036	Low	FIN	EUR	male
HG00336	-2.1237961999999992	Intermediate	FIN	EUR	male
HG00337	-2.9957844	Intermediate	FIN	EUR	female
HG00338	-3.600228000000001	Low	FIN	EUR	male
HG00339	-3.069373	Intermediate	FIN	EUR	female
