Population_1	Population_2	Holm_adjusted_p	Significant	Significance
AFR	AMR	4.730097651040688e-145	True	p < 0.001
AFR	EAS	1.4101093368071363e-158	True	p < 0.001
AFR	EUR	4.4510188679910305e-196	True	p < 0.001
AFR	SAS	9.675334968730026e-93	True	p < 0.001
AMR	EAS	0.20445872468311585	False	NS
AMR	EUR	0.3398608258020923	False	NS
AMR	SAS	3.478752814850987e-11	True	p < 0.001
EAS	EUR	0.012491712768720362	True	p < 0.05
EAS	SAS	2.843187080572126e-08	True	p < 0.001
EUR	SAS	3.7040760356156615e-17	True	p < 0.001
