Population_1	Population_2	N_1	N_2	Mean_Rank_1	Mean_Rank_2	Z	Raw_P	Holm_Adjusted_P	Significant
AFR	AMR	661	347	1285.4810892586988	1017.0417867435159	5.600810780949003	2.1335152762775596e-08	1.4934606933942916e-07	YES
AFR	EAS	661	504	1285.4810892586988	1166.1011904761904	2.7922470413220375	0.005234337639286899	0.015703012917860696	YES
AFR	EUR	661	503	1285.4810892586988	1214.5437375745528	1.6582606713315737	0.09726486349023258	0.19452972698046517	NO
AFR	SAS	661	489	1285.4810892586988	1503.0940695296524	-5.0461555500986295	4.5078845109412857e-07	2.7047307065647714e-06	YES
AMR	EAS	347	504	1017.0417867435159	1166.1011904761904	-2.955590098889403	0.003120715327781636	0.012482861311126544	YES
AMR	EUR	347	503	1017.0417867435159	1214.5437375745528	-3.9145356684046795	9.057834783419286e-05	0.0004528917391709643	YES
AMR	SAS	347	489	1017.0417867435159	1503.0940695296524	-9.577862835444208	9.907373590554196e-22	9.907373590554196e-21	YES
EAS	EUR	504	503	1166.1011904761904	1214.5437375745528	-1.0631170748536376	0.2877288620360061	0.2877288620360061	NO
EAS	SAS	504	489	1166.1011904761904	1503.0940695296524	-7.343200650199141	2.085455186788333e-13	1.8769096681094996e-12	YES
EUR	SAS	503	489	1214.5437375745528	1503.0940695296524	-6.2845438680743735	3.288176788415138e-10	2.6305414307321105e-09	YES
