IID	PRS	PRS_Risk_Group	PRS_Percentile	sample	pop	super_pop	gender
HG00096	-0.2701711890000001	Low	2.2763578274760383	HG00096	GBR	EUR	male
HG00097	-0.40593524	Low	0.7587859424920127	HG00097	GBR	EUR	female
HG00099	0.1602518599999999	Low	12.859424920127797	HG00099	GBR	EUR	female
HG00100	0.24216228	Low	16.333865814696484	HG00100	GBR	EUR	female
HG00101	-0.351910329	Low	1.3578274760383386	HG00101	GBR	EUR	male
HG00102	0.5123662400000001	Intermediate	29.91214057507987	HG00102	GBR	EUR	female
HG00103	-0.13293532	Low	4.073482428115016	HG00103	GBR	EUR	male
HG00105	0.7976424400000002	Intermediate	53.394568690095845	HG00105	GBR	EUR	male
HG00106	0.2361970399999999	Low	15.854632587859424	HG00106	GBR	EUR	female
HG00107	0.08237869	Low	10.18370607028754	HG00107	GBR	EUR	male
HG00108	0.2121377899999999	Low	14.896166134185304	HG00108	GBR	EUR	male
HG00109	-0.2634110919999999	Low	2.4361022364217253	HG00109	GBR	EUR	male
HG00110	0.2736487999999999	Low	17.33226837060703	HG00110	GBR	EUR	female
HG00111	-0.02907727	Low	6.509584664536741	HG00111	GBR	EUR	female
HG00112	-0.18999617	Low	3.2348242811501597	HG00112	GBR	EUR	male
HG00113	-0.00629327	Low	7.42811501597444	HG00113	GBR	EUR	male
HG00114	0.0232720799999999	Low	8.30670926517572	HG00114	GBR	EUR	male
HG00115	0.0801697319999999	Low	10.063897763578275	HG00115	GBR	EUR	male
HG00116	-0.19468668	Low	3.1150159744408943	HG00116	GBR	EUR	male
HG00117	-0.4240391	Low	0.5990415335463258	HG00117	GBR	EUR	male
HG00118	0.136513305	Low	12.100638977635784	HG00118	GBR	EUR	female
HG00119	-0.2955098199999999	Low	1.876996805111821	HG00119	GBR	EUR	male
HG00120	0.4695206999999999	Intermediate	27.595846645367413	HG00120	GBR	EUR	female
HG00121	0.1509925300000001	Low	12.659744408945686	HG00121	GBR	EUR	female
HG00122	-0.501401786	Low	0.2396166134185303	HG00122	GBR	EUR	female
HG00123	0.0979874129999999	Low	10.782747603833863	HG00123	GBR	EUR	female
HG00125	-0.4223404100000001	Low	0.6389776357827476	HG00125	GBR	EUR	female
HG00126	-0.19732295	Low	3.0750798722044728	HG00126	GBR	EUR	male
HG00127	-0.1547595299999999	Low	3.753993610223642	HG00127	GBR	EUR	female
HG00128	0.18905855	Low	14.09744408945687	HG00128	GBR	EUR	female
HG00129	0.43768353	Intermediate	25.918530351437703	HG00129	GBR	EUR	male
HG00130	-0.01931075	Low	6.988817891373802	HG00130	GBR	EUR	female
HG00131	-0.17389475	Low	3.47444089456869	HG00131	GBR	EUR	male
HG00132	-0.3933111099999998	Low	0.9185303514376996	HG00132	GBR	EUR	female
HG00133	-0.1185238399999999	Low	4.552715654952077	HG00133	GBR	EUR	female
HG00136	-0.3969511799999999	Low	0.8785942492012779	HG00136	GBR	EUR	male
HG00137	0.2839144800000001	Low	18.29073482428115	HG00137	GBR	EUR	female
HG00138	-0.2938060599999999	Low	1.9568690095846648	HG00138	GBR	EUR	male
HG00139	-0.3348525200000001	Low	1.5974440894568689	HG00139	GBR	EUR	male
HG00140	0.07740284	Low	10.023961661341852	HG00140	GBR	EUR	male
HG00141	0.0624152499999999	Low	9.464856230031948	HG00141	GBR	EUR	male
HG00142	-0.08189073	Low	5.431309904153355	HG00142	GBR	EUR	male
HG00143	0.0397840099999999	Low	8.626198083067091	HG00143	GBR	EUR	male
HG00145	-0.2031102299999999	Low	2.915335463258786	HG00145	GBR	EUR	male
HG00146	-0.2649418839999999	Low	2.3961661341853038	HG00146	GBR	EUR	female
HG00148	0.2268889000000001	Low	15.375399361022366	HG00148	GBR	EUR	male
HG00149	-0.2301125299999999	Low	2.7955271565495208	HG00149	GBR	EUR	male
HG00150	-0.4207927200000001	Low	0.6789137380191693	HG00150	GBR	EUR	female
HG00151	-0.2944905199999998	Low	1.9169329073482428	HG00151	GBR	EUR	male
HG00154	-0.2864018800000001	Low	2.156549520766773	HG00154	GBR	EUR	female
HG00155	0.1276095199999999	Low	11.861022364217252	HG00155	GBR	EUR	male
HG00157	0.3493033	Intermediate	21.24600638977636	HG00157	GBR	EUR	male
HG00158	-0.3730260900000001	Low	1.1980830670926517	HG00158	GBR	EUR	female
HG00159	0.2319953	Low	15.694888178913738	HG00159	GBR	EUR	male
HG00160	-0.0753599	Low	5.6709265175718855	HG00160	GBR	EUR	male
HG00171	0.4931606399999999	Intermediate	28.554313099041533	HG00171	FIN	EUR	female
HG00173	-0.0250376199999999	Low	6.669329073482428	HG00173	FIN	EUR	female
HG00174	-0.03440589	Low	6.3099041533546325	HG00174	FIN	EUR	female
HG00176	0.5101605100000001	Intermediate	29.71246006389776	HG00176	FIN	EUR	female
HG00177	-0.31289663	Low	1.7971246006389778	HG00177	FIN	EUR	female
HG00178	0.7216263500000001	Intermediate	47.084664536741215	HG00178	FIN	EUR	female
HG00179	-0.1051327499999999	Low	4.752396166134186	HG00179	FIN	EUR	female
HG00180	0.28169354	Low	18.011182108626198	HG00180	FIN	EUR	female
HG00181	0.05341488	Low	9.105431309904152	HG00181	FIN	EUR	male
HG00182	0.2583898099999999	Low	16.972843450479232	HG00182	FIN	EUR	male
HG00183	0.1387315849999999	Low	12.26038338658147	HG00183	FIN	EUR	male
HG00185	0.287932	Low	18.410543130990416	HG00185	FIN	EUR	male
HG00186	0.70663903	Intermediate	45.88658146964856	HG00186	FIN	EUR	male
HG00187	0.3029549199999999	Low	18.80990415335463	HG00187	FIN	EUR	male
HG00188	0.4039828299999999	Intermediate	24.281150159744406	HG00188	FIN	EUR	male
HG00189	0.28029839	Low	17.89137380191693	HG00189	FIN	EUR	male
HG00190	0.3675448799999999	Intermediate	21.84504792332268	HG00190	FIN	EUR	male
HG00231	0.11203263345	Low	11.182108626198085	HG00231	GBR	EUR	female
HG00232	0.238545847	Low	16.054313099041533	HG00232	GBR	EUR	female
HG00233	0.12515099	Low	11.701277955271564	HG00233	GBR	EUR	female
HG00234	-0.3806906799999999	Low	1.1182108626198082	HG00234	GBR	EUR	male
HG00235	-0.362448617	Low	1.317891373801917	HG00235	GBR	EUR	female
HG00236	0.03957636	Low	8.586261980830672	HG00236	GBR	EUR	female
HG00237	-0.3645568350000001	Low	1.2380191693290734	HG00237	GBR	EUR	female
HG00238	0.59203416	Intermediate	36.022364217252395	HG00238	GBR	EUR	female
HG00239	0.5388203100000001	Intermediate	31.869009584664536	HG00239	GBR	EUR	female
HG00240	-0.0392722199999999	Low	6.230031948881789	HG00240	GBR	EUR	female
HG00242	-0.0546932499999999	Low	5.9904153354632586	HG00242	GBR	EUR	male
HG00243	-0.5602509820000001	Low	0.0399361022364217	HG00243	GBR	EUR	male
HG00244	0.31571264	Low	19.528753993610223	HG00244	GBR	EUR	male
HG00245	-0.1742243299999999	Low	3.4345047923322687	HG00245	GBR	EUR	female
HG00246	0.7310668	Intermediate	47.92332268370607	HG00246	GBR	EUR	male
HG00250	0.3525568419999998	Intermediate	21.3258785942492	HG00250	GBR	EUR	female
HG00251	-0.3977088611000001	Low	0.8386581469648562	HG00251	GBR	EUR	male
HG00252	-0.0369254	Low	6.2699680511182105	HG00252	GBR	EUR	male
HG00253	0.15952022	Low	12.819488817891376	HG00253	GBR	EUR	female
HG00254	0.7374517715000001	Intermediate	48.602236421725244	HG00254	GBR	EUR	female
HG00255	0.3970175999999999	Intermediate	23.642172523961666	HG00255	GBR	EUR	female
HG00256	0.20582066	Low	14.656549520766774	HG00256	GBR	EUR	male
HG00257	-0.0527937844	Low	6.1102236421725244	HG00257	GBR	EUR	female
HG00258	0.270078139	Low	17.172523961661344	HG00258	GBR	EUR	female
