Disease	PRS_ID	Population_1	Population_2	Holm_Adjusted_P	Significant_0.05
Schizophrenia	PGS002785	AFR	AMR	1.913645075854314e-65	True
Schizophrenia	PGS002785	AFR	EAS	1.9861539854283252e-14	True
Schizophrenia	PGS002785	AFR	EUR	3.024235752692248e-285	True
Schizophrenia	PGS002785	AFR	SAS	2.0370951330150336e-54	True
Schizophrenia	PGS002785	AMR	EAS	8.214413963426393e-22	True
Schizophrenia	PGS002785	AMR	EUR	8.467769193012519e-46	True
Schizophrenia	PGS002785	AMR	SAS	0.003229201978250464	True
Schizophrenia	PGS002785	EAS	EUR	2.5601146792695945e-155	True
Schizophrenia	PGS002785	EAS	SAS	1.9213756224454188e-13	True
Schizophrenia	PGS002785	EUR	SAS	1.7031169707032784e-79	True
